client,server,datasource,graph
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,9,0 0,10,0 0,13,0 0,14,0.021978 6,0,2.37654 6,9,2 6,10,2.57143 6,13,2 6,14,2.57674 9,0,14.1833 9,6,17 9,10,14 9,13,13.5 9,14,14.2511 10,0,5.25172 10,6,5.41667 10,9,6 10,13,5.6 10,14,5.30199 13,0,6.67197 13,6,7 13,9,12 13,10,7 13,14,6.73 14,0,0 14,6,0 14,9,0 14,10,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,1,0 0,4,0 0,6,0 0,10,0.25 0,13,0 0,14,0.0255102 1,0,7.79839 1,6,3 1,10,10.3333 1,14,7.83193 4,0,8.78621 4,1,2 4,6,5 4,10,12.6667 4,14,8.83453 6,0,4.16164 6,1,7 6,4,5 6,10,4.125 6,13,2 6,14,3.61722 10,0,4.33711 10,1,3 10,4,1 10,6,5.66667 10,13,5 10,14,4.73473 13,0,10.2328 13,1,11 13,4,8 13,6,6.7 13,10,11.75 13,14,8.52715 14,0,0.00259067 14,1,0 14,4,0 14,6,0 14,10,0.125 14,13,0"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,4,1 0,6,0 0,9,0 0,10,0 0,13,25.2 0,14,0.238384 4,0,29.2506 4,6,16.6667 4,9,55 4,10,30.2 4,13,48.5 4,14,28.3929 6,0,4.69398 6,9,11 6,10,7.25 6,13,7.75 6,14,4.84406 9,0,0 9,14,0.461538 10,0,6.49883 10,6,7.77778 10,9,5 10,13,3.5 10,14,6.40845 13,0,100.046 13,4,131 13,6,129.444 13,9,0 13,10,92.2 13,14,101.03 14,0,0.312629 14,4,1 14,6,0 14,9,0 14,10,0 14,13,25.2"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0.0833333 0,10,0 0,13,0 0,14,0.0287356 6,0,3.19634 6,10,3.25 6,13,3.33333 6,14,3.02766 10,0,12.9817 10,6,13.25 10,13,14.8333 10,14,12.7175 13,0,4.85662 13,6,5.33333 13,10,7.5 13,14,5.42192 14,0,0 14,6,0 14,10,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,4,0 0,5,0 0,6,0.1 0,9,0 0,10,0.8 0,13,35.8 0,14,0.0730689 4,0,97.6915 4,5,1 4,6,108.625 4,9,1 4,10,20.6 4,13,168.75 4,14,100.983 5,0,251.902 5,4,252 5,6,234.625 5,9,0 5,10,222.8 5,13,231 5,14,253.8 6,0,23.1674 6,4,9 6,5,9 6,9,9 6,10,13 6,13,39 6,14,26.3141 9,0,253.415 9,4,252 9,6,234 9,10,222.6 9,13,230.25 9,14,254.666 10,0,89.5714 10,4,238 10,6,85.625 10,13,156.5 10,14,91.7723 13,0,18.0022 13,4,9.5 13,5,11 13,6,23.6667 13,9,12 13,10,23.8 13,14,18.1889 14,0,0.419355 14,4,0 14,5,0 14,6,0.1 14,9,0 14,10,0.8 14,13,35.8"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0.1 0,8,0 0,10,0.166667 0,13,0 0,14,0.045098 6,0,2.63059 6,8,2 6,10,2.33333 6,13,2.5 6,14,2.57996 8,0,22.1676 8,6,25.75 8,10,25.4 8,13,32 8,14,25.985 10,0,5.84289 10,6,6.11111 10,8,8 10,13,6 10,14,5.92377 13,0,10.8 13,6,11.7 13,8,15 13,10,11 13,14,10.1827 14,0,0.00214133 14,6,0.1 14,8,0 14,10,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,2,0 0,4,0 0,6,0.0833333 0,10,0.25 0,13,4.28571 0,14,0.688645 2,0,236.88 2,4,221 2,6,238.875 2,10,243.333 2,13,195.8 2,14,235.589 4,0,17.1059 4,6,17.125 4,10,22 4,13,15.5 4,14,14.8809 6,0,21.4358 6,2,1 6,4,223 6,10,59.75 6,13,5.57143 6,14,31.2245 10,0,23.0027 10,2,9 10,4,231 10,6,7.9 10,13,13.1667 10,14,29.778 13,0,24.9252 13,2,4 13,4,191 13,6,22.3636 13,10,52.75 13,14,37.2407 14,0,0.114558 14,2,0 14,4,0 14,6,0.0833333 14,10,0.25 14,13,4.28571"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0.111111 0,9,0 0,10,0 0,13,0 0,14,0.0209524 6,0,4.18797 6,9,5.5 6,10,4.83333 6,13,4.25 6,14,4.45474 9,0,6.65746 9,6,10.6667 9,10,5.33333 9,13,9 9,14,7.30357 10,0,4.00696 10,6,5.22222 10,9,3 10,13,4.75 10,14,4.1505 13,0,8.52185 13,6,7.75 13,9,7.5 13,10,8.33333 13,14,8.48465 14,0,0 14,6,0 14,9,0 14,10,0 14,13,0"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,1,0 0,4,0 0,5,0 0,6,0 0,9,0 0,10,0 0,13,114.25 0,14,0.181818 1,0,246.935 1,4,260.5 1,5,11 1,6,262 1,10,258.5 1,13,504.5 1,14,317.468 4,0,55.0504 4,1,59 4,5,1 4,6,40.8 4,9,39 4,10,32.4 4,13,170 4,14,54.8546 5,0,443.515 5,4,501 5,6,507 5,10,504 5,13,493 5,14,469.881 6,0,60.8692 6,1,7 6,4,172 6,5,4 6,9,4 6,10,92.6667 6,13,128.75 6,14,85.7292 9,0,162.043 9,1,20 9,4,280.5 9,5,31 9,6,146.25 9,10,142.25 9,13,524.5 9,14,225.966 10,0,43.5138 10,1,12 10,4,173.667 10,5,8 10,6,6.85714 10,9,30 10,13,127.25 10,14,55.375 13,0,22.0437 13,1,35 13,4,26.3333 13,5,46 13,6,22.6667 13,9,15 13,10,21.5 13,14,22.3524 14,0,0.991649 14,1,0 14,4,0 14,5,0 14,6,0 14,9,0 14,10,0 14,13,114.25"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,10,0 0,13,0.166667 0,14,0.026178 6,0,4.26531 6,10,3.57143 6,13,3.5 6,14,3.83574 10,0,5.38947 10,6,5.4 10,13,5.5 10,14,5.43421 13,0,4.64986 13,6,4.66667 13,10,4.83333 13,14,4.66189 14,0,0 14,6,0 14,10,0 14,13,0"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0.1 0,9,0 0,10,0 0,13,0 0,14,0.0125 6,0,2.62187 6,9,1 6,10,2.5 6,13,1.66667 6,14,2.6872 9,0,19.4383 9,6,21.1 9,10,14.2 9,13,23.6667 9,14,19.561 10,0,6.79828 10,6,7.3 10,9,3 10,13,9.66667 10,14,6.84375 13,0,5.19718 13,6,5.66667 13,10,5.5 13,14,5.24818 14,0,0.00200401 14,6,0.1 14,9,0 14,10,0 14,13,0"
